serial_no,issue_date,file_number,company_name,equipment,certificate_no,online_application_no,pdf_url
283,2026-06-12,I-21/166/2026-W&M Section,PACIFIC SCALES INDIA,Non-automatic weighing instrument,283,24112,https://lm.doca.gov.in/ModelApproval/Certificates/2026/283.pdf
284,2026-06-15,21/186/2026,IRIS TECH,Non-automatic weighing instrument,284,24134,https://lm.doca.gov.in/ModelApproval/Certificates/2026/284.pdf
285,2026-06-15,21/186/2026,IRIS TECH,Non-automatic weighing instrument,285,24135,https://lm.doca.gov.in/ModelApproval/Certificates/2026/285.pdf
286,2026-06-18,I-21/188/2026-W&M Section,A&D INSTRUMENTS INDIA PRIVATE LIMITED,Non-automatic weighing instrument,286,23869,https://lm.doca.gov.in/ModelApproval/Certificates/2026/286.pdf
287,2026-06-19,I-21/192/2026-W&M Section,J D ENTERPRISES,Non-automatic weighing instrument,287,24152,https://lm.doca.gov.in/ModelApproval/Certificates/2026/287.pdf
288,2026-06-19,I-21/192/2026-W&M Section,J D ENTERPRISES,Non-automatic weighing instrument,288,24151,https://lm.doca.gov.in/ModelApproval/Certificates/2026/288.pdf
289,2026-06-19,I-21/195/2026-W&M Section,IRIS TECH,Non-automatic weighing instrument,289,24136,https://lm.doca.gov.in/ModelApproval/Certificates/2026/289.pdf
290,2026-06-19,I-21/191/2026-W&M Section,LARS MARKETING,Any other Weight or Measure,290,24001,https://lm.doca.gov.in/ModelApproval/Certificates/2026/290.pdf
291,2026-06-19,I-21/134/2026-W&M Section,AVIGHNA EPC SERVICES PRIVATE LIMITED,Measuring Systems for Liquids Other than Water,291,24084,https://lm.doca.gov.in/ModelApproval/Certificates/2026/291.pdf
292,2026-06-23,I-21/185/2026-W&M Section,FLEXO PACK MACHINES PRIVATE LIMITED,Any other Weight or Measure,292,22112,https://lm.doca.gov.in/ModelApproval/Certificates/2026/292.pdf
293,2026-06-23,I-21/171/2026-W&M Section,KANDHAN EQUIPMENTS PRIVATE LIMITED,Discontinuous Totalizing Automatic Weighing Instrument (Hopper weigher),293,24063,https://lm.doca.gov.in/ModelApproval/Certificates/2026/293.pdf
294,2026-06-23,I-21/189/2026-W&M Section,HARDIK MEDITECH,Non-automatic weighing instrument,294,24160,https://lm.doca.gov.in/ModelApproval/Certificates/2026/294.pdf
295,2026-06-23,I-21/183/2026-W&M Section,INFLOW TECHNOLOGIES PRIVATE LIMITED,Non-automatic weighing instrument,295,23474,https://lm.doca.gov.in/ModelApproval/Certificates/2026/295.pdf
296,2026-06-25,I-21/200/2026-W&M Section,VIJAY PRECISION INSTRUMENTS,Non-automatic weighing instrument,296,24138,https://lm.doca.gov.in/ModelApproval/Certificates/2026/296.pdf
297,2026-06-25,I-21/199/2026-W&M Section,HARDIK MEDITECH,Non-automatic weighing instrument,297,23811,https://lm.doca.gov.in/ModelApproval/Certificates/2026/297.pdf
298,2026-06-25,I-21/204/2026-W&M Section,ESSAE -TERAOKA PRIVATE LIMITED,Non-automatic weighing instrument,298,24070,https://lm.doca.gov.in/ModelApproval/Certificates/2026/298.pdf
299,2026-06-25,I-21/198/2026-W&M Section,M.S SCALES & SYSTEMS,Non-automatic weighing instrument,299,24140,https://lm.doca.gov.in/ModelApproval/Certificates/2026/299.pdf
